"2012 ERP, total","Poor English proficiency, %",Number of Households,"Unemployed, %","Equivalent household income <$600/week, %",Schools,"Personal income <$400/week, %","Did not complete year 12, %","Holds degree or higher, %",Location_numeric,Offence Count,"Rate per 100,000 population",2014
1277.75,1.340479400827049,511.75,4.7302788251031895,48.42135064977853,1.5,38.589120530407165,53.08079817536392,31.412598633196183,216.83333333333334,467,3779.846216107,3119936.04
3898.5666666666666,0.7762025374554333,1535.7333333333333,5.592349358068342,41.56289082350288,1.8666666666666667,40.013097985770536,52.33769854346528,38.699705524605385,103.36666666666666,10221,10229.797625958,53642391.94
6517.708333333333,3.115505968839414,2370.0416666666665,4.727556416012589,32.88911517639772,2.0416666666666665,37.995060098390375,40.48370158638959,51.06408110284767,13.791666666666666,8932,7139.48859776,55019402.31
1548.5217391304348,0.7424964606661443,632.9130434782609,4.599115721863356,51.21617261233896,0.6521739130434783,43.78102052826071,59.89070924885591,27.370464679832708,86.52173913043478,2572,8058.401478836,15087373.6
3207.6470588235293,0.26633706676118146,1203.1764705882354,5.05946339052962,44.52057972174524,2.823529411764706,42.885576248233306,63.81581991859089,26.440915992872004,101.05882352941177,3810,8168.253151531,12641199.17
12167.125,1.821747640775654,4405.625,3.924540298959081,26.79915761451715,3.375,33.43463025381731,31.403592527433595,60.69443229294275,15.375,4260,4268.665390743,15788451.25
6856.5,0.30649086134940623,2913.0,4.974248125736285,51.299782386408324,4.5,44.223433671853286,64.3725512883031,27.672053010057166,164.0,1164,8375.305799396,10150100.66
15272.166666666666,3.2052151163106424,5525.583333333333,4.366775808567638,24.109281440715478,5.083333333333333,33.569725802244115,23.951717505116658,70.8873119810204,9.416666666666666,6789,3932.005096722,19414918.54
7689.148148148148,10.756585003863307,2605.8518518518517,7.69725348202917,44.00341585528307,2.3703703703703702,44.9808558560731,45.53781111804709,38.17348742069992,16.037037037037038,17366,8750.025192978,138542665.6
2755.714285714286,0.8350844374906948,1077.357142857143,5.296715944788675,56.29811154929819,2.2142857142857144,48.06529746002921,73.27543584542427,21.180029905538223,168.92857142857142,2948,7895.441641223,8884033.85
3854.5,0.6017896259948047,1300.7083333333333,4.040129411964547,35.325693156447855,1.75,38.253551144242714,58.95068225630826,25.943056357625608,56.291666666666664,5595,6352.901101397,21217863.1
8303.027777777777,4.253549127509896,2701.527777777778,4.90310302450636,35.65941964254031,2.3055555555555554,39.09833230278507,54.296945704114506,27.248019325529263,41.47222222222222,17611,6116.268489288,113243208.1
3281.8,0.1115760111576011,1438.4,7.514260871535231,68.35456387643202,3.0,56.59784643509422,70.11172043723852,20.8113680356993,140.8,1097,8514.4365104,10384719.19
3061.285714285714,0.6704627614155235,1214.857142857143,5.458167643331746,50.13147119051799,2.7142857142857144,42.58456438076577,61.860436102452105,28.77746804740558,139.57142857142858,1534,7259.476598363,10074894.08
